2026.01.12 15:08:31 INFO  Progress (1): 201/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 217/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 233/249 kB
2026.01.12 15:08:31 INFO  Progress (1): 249 kB    
2026.01.12 15:08:32 INFO                      
2026.01.12 15:08:32 INFO  Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/tomcat/embed/tomcat-embed-websocket/10.1.46/tomcat-embed-websocket-10.1.46-sources.jar (249 kB at 2.6 MB/s)
2026.01.12 15:08:32 INFO  [INFO] SUCCESS: org.apache.tomcat.embed:tomcat-embed-websocket:jar:10.1.46:compile (sources = true)
2026.01.12 15:08:32 INFO  [INFO] Resolving artifact: org.springframework.data:spring-data-mongodb:jar:4.5.4:compile (sources = false)
2026.01.12 15:08:32 INFO  [INFO] SUCCESS: org.springframework.data:spring-data-mongodb:jar:4.5.4:compile (sources = false)
2026.01.12 15:08:32 INFO  [INFO] Resolving artifact: org.springframework.data:spring-data-mongodb:jar:4.5.4:compile (sources = true)
2026.01.12 15:08:32 INFO  Downloading from central: https://repo.maven.apache.org/maven2/org/springframework/data/spring-data-mongodb/4.5.4/spring-data-mongodb-4.5.4-sources.jar
2026.01.12 15:08:32 INFO  Progress (1): 0/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.1/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.2/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.3/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.4/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.5/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.6/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.7/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.8/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.9/1.3 MB
2026.01.12 15:08:32 INFO  Progress (1): 0.9/1.3 MB
